# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   78       2.731711773880e-10       5.806923313803e-14      -1.266254752380e-12       0.000000000000e+00       2.026669937558e-11       2.578175178534e-12      -9.941782828174e-15 
   79       2.765923673635e-10       6.001492612742e-14      -1.337303704951e-12       0.000000000000e+00       1.964241923995e-11       2.510090894002e-12      -1.015857559514e-14 
   80       2.800447443165e-10       6.197919031125e-14      -1.409629971981e-12       0.000000000000e+00       1.904380624921e-11       2.444835351455e-12      -1.038207651442e-14 
   81       2.835283609170e-10       6.395984998056e-14      -1.483172358293e-12       0.000000000000e+00       1.846965717404e-11       2.382245679418e-12      -1.059909663743e-14 
   82       2.870429223945e-10       6.595460172854e-14      -1.557866046868e-12       0.000000000000e+00       1.791832937454e-11       2.322106689183e-12      -1.079511791310e-14 
   83       2.905877689468e-10       6.796101187860e-14      -1.633642549795e-12       0.000000000000e+00       1.738772305564e-11       2.264148783695e-12      -1.095425236082e-14 
   84       2.941622373084e-10       6.997674453674e-14      -1.710436890841e-12       0.000000000000e+00       1.687579163536e-11       2.208112398854e-12      -1.106254088493e-14 
   85       2.977668528588e-10       7.200029482112e-14      -1.788210628684e-12       0.000000000000e+00       1.638220893150e-11       2.153958182479e-12      -1.111856749388e-14 
   86       3.014023038073e-10       7.403037303605e-14      -1.866932578271e-12       0.000000000000e+00       1.590694711046e-11       2.101687986619e-12      -1.112453802086e-14 
   87       3.050690685518e-10       7.606568614001e-14      -1.946571989988e-12       0.000000000000e+00       1.544976441009e-11       2.051280474522e-12      -1.108311200802e-14 
   88       3.087674044608e-10       7.810493904974e-14      -2.027098622158e-12       0.000000000000e+00       1.501019627102e-11       2.002690147724e-12      -1.099741800791e-14 
   89       3.124973366542e-10       8.014683594431e-14      -2.108482813537e-12       0.000000000000e+00       1.458754646789e-11       1.955846373122e-12      -1.087106888502e-14 
   90       3.162586467857e-10       8.219008156923e-14      -2.190695555807e-12       0.000000000000e+00       1.418087824064e-11       1.910652410062e-12      -1.070817711715e-14 
   91       3.200508618236e-10       8.423338254051e-14      -2.273708566077e-12       0.000000000000e+00       1.378900542581e-11       1.866984437414e-12      -1.051337009697e-14 
   92       3.238732428328e-10       8.627544864874e-14      -2.357494359375e-12       0.000000000000e+00       1.341048358774e-11       1.824690580659e-12      -1.029180543341e-14 
   93       3.277250467120e-10       8.831489575272e-14      -2.442019089879e-12       0.000000000000e+00       1.304395275256e-11       1.783628101998e-12      -1.004868343499e-14 
   94       3.316063808029e-10       9.034993492132e-14      -2.527219685521e-12       0.000000000000e+00       1.268924383802e-11       1.743783482210e-12      -9.787667450224e-15 
   95       3.355174566707e-10       9.237863873211e-14      -2.613023392462e-12       0.000000000000e+00       1.234642300768e-11       1.705168684322e-12      -9.512253131721e-15 
   96       3.394583212291e-10       9.439903546987e-14      -2.699354673534e-12       0.000000000000e+00       1.201545090730e-11       1.667784156744e-12      -9.226258372214e-15 
   97       3.434288492689e-10       9.640910907978e-14      -2.786135181471e-12       0.000000000000e+00       1.169617862251e-11       1.631618384205e-12      -8.933831703955e-15 
   98       3.474287359863e-10       9.840679912070e-14      -2.873283732147e-12       0.000000000000e+00       1.138834363649e-11       1.596647438698e-12      -8.639460698071e-15 
   99       3.514574895112e-10       1.003900007183e-13      -2.960716277805e-12       0.000000000000e+00       1.109156578760e-11       1.562834530414e-12      -8.347980363933e-15 
  100       3.555144234353e-10       1.023565645185e-13      -3.048345880293e-12       0.000000000000e+00       1.080534322709e-11       1.530129558684e-12      -8.064581548518e-15 
  101       3.595986493413e-10       1.043042966402e-13      -3.136082684300e-12       0.000000000000e+00       1.052904837673e-11       1.498468662915e-12      -7.794819335773e-15 
  102       3.637090693303e-10       1.062309586291e-13      -3.223833890584e-12       0.000000000000e+00       1.026192388647e-11       1.467773773532e-12      -7.544621445981e-15 
  103       3.678443685509e-10       1.081342674106e-13      -3.311503729211e-12       0.000000000000e+00       1.000307859215e-11       1.437952162915e-12      -7.320296635127e-15 
  104       3.720032966453e-10       1.100120003516e-13      -3.398999606831e-12       0.000000000000e+00       9.751689544467e-12       1.408917914975e-12      -7.127080053379e-15 
  105       3.761855714823e-10       1.118623267110e-13      -3.486251551917e-12       0.000000000000e+00       9.507647883993e-12       1.380660604102e-12      -6.964527438593e-15 
  106       3.803910841447e-10       1.136835210846e-13      -3.573195358621e-12       0.000000000000e+00       9.270993084586e-12       1.353185099753e-12      -6.830511507883e-15 
