# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  167       6.443446551089e-10       1.273520118591e-13      -5.661634148215e-12       1.261199225270e-15       2.598866986581e-12       4.973926604081e-13      -2.906244372542e-15 
  168       6.480183499975e-10       1.259875314513e-13      -5.607043573051e-12       1.278057969018e-15       2.553576777973e-12       4.903786325548e-13      -2.841496005709e-15 
  169       6.516453422339e-10       1.246022676601e-13      -5.548835527520e-12       1.295055158091e-15       2.509336005329e-12       4.834888779549e-13      -2.777188194839e-15 
  170       6.552244886315e-10       1.231991951338e-13      -5.487001878717e-12       1.312190682344e-15       2.466126332751e-12       4.767230315936e-13      -2.713351886746e-15 
  171       6.587546278695e-10       1.217814084482e-13      -5.421536715209e-12       1.329464400524e-15       2.423925958771e-12       4.700803420033e-13      -2.650017212043e-15 
  172       6.622345802053e-10       1.203521236223e-13      -5.352436386273e-12       1.346876139776e-15       2.382709549305e-12       4.635596631857e-13      -2.587213457312e-15 
  173       6.656631471870e-10       1.189146796336e-13      -5.279699541133e-12       1.364425695142e-15       2.342448170592e-12       4.571594465340e-13      -2.524969037265e-15 
  174       6.690391113668e-10       1.174725399338e-13      -5.203327168194e-12       1.382112829070e-15       2.303109222149e-12       4.508777327545e-13      -2.463311466920e-15 
  175       6.723612360131e-10       1.160292939645e-13      -5.123322634286e-12       1.399937270916e-15       2.264656369712e-12       4.447121437884e-13      -2.402267333764e-15 
  176       6.756282648236e-10       1.145886586723e-13      -5.039691723895e-12       1.417898716444e-15       2.227049478182e-12       4.386598747341e-13      -2.341862269920e-15 
  177       6.788389216378e-10       1.131544800249e-13      -4.952442678400e-12       1.435996827339e-15       2.190244544579e-12       4.327176857688e-13      -2.282120924319e-15 
  178       6.819919101499e-10       1.117307345260e-13      -4.861586235313e-12       1.454231230700e-15       2.154193630981e-12       4.268818940706e-13      -2.223066934865e-15 
